"Electric power generation, monthly receipts, deliveries and availability 1 2",,,
Frequency: Monthly,,,
Table: 25-10-0016-01 (formerly CANSIM 127-0003),,,
Release date: 2024-11-28,,,
"Geography: Canada, Province or territory",,,
,,,
,,,
,,,
Geography,New Brunswick,Quebec,Ontario
Jul-23,"430,501","878,493","1,120,461"
Aug-23,"447,216","811,302","917,680"
Sep-23,"422,783","771,713","706,411"
Oct-23,"446,749","645,902","776,211"
Nov-23,"477,217","762,521","949,235"
Dec-23,"513,967","967,641","945,284"
Jan-24,"238,958","938,677","1,519,062"
Feb-24,"247,804","604,861","979,560"
Mar-24,"244,068","299,893","558,275"
Apr-24,"213,763","193,815","687,311"
May-24,"157,638","195,955","756,065"
Jun-24,"161,256","835,114","923,668"
Jul-24,"165,675","1,259,156","1,313,448"
Aug-24,"151,191","556,092","1,050,187"
Sep-24,"150,505","166,717","1,110,732"
,,,
,,,
,,,
,,,
Footnotes:,,,
1,"For monthly data prior to January 2008, please see table 25-10-0001-01 (terminated). For current monthly data on electric power generation, see also table 25-10-0015-01.",,
2,"The target population for the Monthly Electricity Supply and Disposition Survey has been expanded to improve coverage of renewable energy in Canada, particularly wind and solar power. As a result of this change, users will have to use caution when comparing data for historical purposes. For wind power, significant changes occurred in British Columbia, Alberta, Ontario, Quebec and Prince Edward Island. For solar power, significant changes occurred in Ontario.",,
3,"Electric energy (firm, non-firm and other) transferred to the United States.",,
,,,
,,,
,,,
"How to cite: Statistics Canada. Table 25-10-0016-01  Electric power generation, monthly receipts, deliveries and availability",,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510001601,,,
